Attrition_Flag,Customer_Age,Gender,Education_Level,Card_Category,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Income_Category_final,customer
Existing Customer,36,M,Post-Graduate,Blue,798,0.59,2229,45,1.045,0.497,SecondClass,Customer N_1151
Existing Customer,55,M,Graduate,Blue,856,0.459,1425,33,0.65,0.035,FirstClass,Customer N_1152
Existing Customer,30,F,Graduate,Blue,1327,0.803,2523,71,0.775,0.264,SecondClass,Customer N_1153
Existing Customer,26,F,High School,Blue,1195,0.556,2255,48,0.5,0.34,SecondClass,Customer N_1154
Existing Customer,48,M,High School,Blue,636,0.972,1568,51,0.5,0.086,SecondClass,Customer N_1155
Existing Customer,53,F,Graduate,Blue,1391,0.698,2116,63,0.575,0.471,SecondClass,Customer N_1156
Attrited Customer,53,M,Graduate,Blue,507,0.967,1133,28,0.4,0.04,FirstClass,Customer N_1157
Existing Customer,58,F,Uneducated,Blue,1536,0.615,1371,38,0.407,0.791,SecondClass,Customer N_1158
Existing Customer,32,M,Graduate,Blue,789,0.833,2337,69,0.605,0.026,FirstClass,Customer N_1159
Existing Customer,48,M,Uneducated,Silver,0,0.712,1546,41,0.577,0,SecondClass,Customer N_1160
Existing Customer,48,M,High School,Silver,2018,0.55,1682,39,0.95,0.114,SecondClass,Customer N_1161
Existing Customer,54,M,College,Blue,2415,0.441,1419,36,0.8,0.856,FirstClass,Customer N_1162
Existing Customer,59,M,High School,Blue,787,0.865,2139,70,0.556,0.532,SecondClass,Customer N_1163
Existing Customer,35,M,Graduate,Blue,0,1.623,2492,55,0.897,0,SecondClass,Customer N_1164
Existing Customer,37,M,Post-Graduate,Blue,1766,1.186,3045,56,0.697,0.257,SecondClass,Customer N_1165
Existing Customer,36,M,High School,Blue,1568,1.055,2406,65,0.857,0.461,FirstClass,Customer N_1166
Existing Customer,26,M,Uneducated,Blue,1695,0.766,1833,27,0.588,0.785,SecondClass,Customer N_1167
Attrited Customer,35,F,Graduate,Blue,666,0.691,1483,36,0.5,0.352,SecondClass,Customer N_1168
Attrited Customer,40,M,Post-Graduate,Blue,890,0.361,1698,43,0.483,0.048,SecondClass,Customer N_1169
Existing Customer,39,F,Graduate,Blue,2057,1.399,2905,63,0.969,0.365,SecondClass,Customer N_1170
Existing Customer,49,M,High School,Blue,786,1.081,1640,37,0.762,0.261,SecondClass,Customer N_1171
Existing Customer,32,M,Post-Graduate,Blue,1491,1.304,2456,55,0.571,0.272,SecondClass,Customer N_1172
Existing Customer,35,M,Post-Graduate,Blue,1177,1.214,2601,52,0.733,0.09,FirstClass,Customer N_1173
Existing Customer,39,M,Graduate,Blue,1146,1.8,2279,33,1.357,0.132,SecondClass,Customer N_1174
Existing Customer,53,F,Graduate,Blue,1421,0.669,2043,52,0.793,0.23,SecondClass,Customer N_1175
Existing Customer,26,F,Graduate,Blue,0,0.842,2312,61,0.649,0,SecondClass,Customer N_1176
Existing Customer,32,M,High School,Blue,1784,0.904,2056,49,0.633,0.331,SecondClass,Customer N_1177
Existing Customer,54,M,College,Blue,0,0.696,1693,37,1.056,0,FirstClass,Customer N_1178
Existing Customer,36,F,High School,Blue,2441,1.563,2668,51,0.545,0.709,SecondClass,Customer N_1179
Existing Customer,45,F,High School,Blue,1267,0.677,1732,35,1.059,0.602,SecondClass,Customer N_1180
Existing Customer,49,M,Graduate,Blue,2048,0.657,1916,58,0.526,0.131,FirstClass,Customer N_1181
Existing Customer,44,M,Doctorate,Blue,1356,1.169,1531,48,0.655,0.039,FirstClass,Customer N_1182
Existing Customer,64,F,Doctorate,Blue,1864,0.67,1523,35,0.667,0.341,SecondClass,Customer N_1183
Existing Customer,31,M,Post-Graduate,Blue,1580,0.727,1642,36,0.636,0.588,SecondClass,Customer N_1184
Existing Customer,49,F,Uneducated,Blue,1365,1.027,1834,43,1.263,0.261,SecondClass,Customer N_1185
Existing Customer,32,F,High School,Blue,2029,0.768,1874,38,0.52,0.445,SecondClass,Customer N_1186
Existing Customer,53,M,High School,Blue,985,0.322,1452,37,0.276,0.075,FirstClass,Customer N_1187
Existing Customer,30,F,Graduate,Blue,1060,0.709,1712,37,0.609,0.15,SecondClass,Customer N_1188
Existing Customer,34,M,Uneducated,Blue,2517,0.975,1969,46,1.3,0.073,FirstClass,Customer N_1189
Existing Customer,41,M,Post-Graduate,Blue,1390,0.593,1720,42,0.556,0.135,SecondClass,Customer N_1190
Existing Customer,33,F,Uneducated,Blue,0,0.856,1644,45,0.731,0,SecondClass,Customer N_1191
Existing Customer,56,M,High School,Blue,1702,0.834,1478,33,0.5,0.14,FirstClass,Customer N_1192
Existing Customer,36,M,High School,Blue,0,0.815,1739,35,0.842,0,FirstClass,Customer N_1193
Existing Customer,35,M,Graduate,Blue,0,0.61,2290,62,0.632,0,SecondClass,Customer N_1194
Existing Customer,27,M,Graduate,Blue,829,0.707,2147,41,0.519,0.072,SecondClass,Customer N_1195
Existing Customer,46,M,High School,Blue,2517,0.488,1339,29,0.381,0.105,SecondClass,Customer N_1196
Existing Customer,48,M,Graduate,Blue,1789,0.807,1825,31,0.348,0.597,SecondClass,Customer N_1197
Existing Customer,38,M,Graduate,Blue,1553,1.156,2503,40,0.667,0.646,SecondClass,Customer N_1198
Existing Customer,36,M,Post-Graduate,Blue,1291,0.864,1946,37,0.542,0.059,FirstClass,Customer N_1199
Existing Customer,56,M,High School,Blue,1851,0.73,1839,33,0.833,0.474,FirstClass,Customer N_1200
Existing Customer,32,M,Doctorate,Blue,606,0.727,2192,58,0.657,0.06,SecondClass,Customer N_1201
Existing Customer,36,M,Doctorate,Blue,1504,1.52,2747,42,0.448,0.305,SecondClass,Customer N_1202
Existing Customer,35,F,High School,Silver,1452,0.771,2685,71,0.511,0.105,SecondClass,Customer N_1203
Existing Customer,32,M,High School,Blue,1223,0.73,1657,38,0.52,0.297,SecondClass,Customer N_1204
Existing Customer,56,F,High School,Blue,625,0.673,3151,67,0.595,0.045,SecondClass,Customer N_1205
Existing Customer,37,F,Uneducated,Blue,1144,0.692,1804,38,0.583,0.456,SecondClass,Customer N_1206
Existing Customer,38,F,Graduate,Blue,2149,0.669,1200,28,0.647,0.865,SecondClass,Customer N_1207
Existing Customer,35,M,College,Blue,0,0.565,2469,67,0.811,0,SecondClass,Customer N_1208
Existing Customer,48,M,Doctorate,Blue,1381,0.513,1486,32,0.143,0.076,FirstClass,Customer N_1209
Existing Customer,29,M,Graduate,Blue,0,0.734,1885,55,0.528,0,SecondClass,Customer N_1210
Existing Customer,33,M,Graduate,Blue,1431,1.019,2390,62,0.722,0.064,FirstClass,Customer N_1211
Existing Customer,39,F,High School,Blue,2498,0.779,2153,58,0.568,0.556,SecondClass,Customer N_1212
Existing Customer,27,F,High School,Blue,1384,0.904,1662,32,0.391,0.742,SecondClass,Customer N_1213
Existing Customer,31,M,Graduate,Blue,1033,0.623,2498,60,1,0.534,SecondClass,Customer N_1214
Existing Customer,45,M,Graduate,Blue,891,1.047,1900,28,0.556,0.131,SecondClass,Customer N_1215
Existing Customer,35,M,High School,Blue,1880,0.788,1859,33,0.571,0.098,SecondClass,Customer N_1216
Existing Customer,55,M,College,Blue,1551,0.488,1327,30,0.304,0.048,FirstClass,Customer N_1217
Existing Customer,61,M,Uneducated,Blue,847,0.436,1397,43,0.483,0.589,SecondClass,Customer N_1218
Existing Customer,37,F,Graduate,Blue,1929,0.886,1773,42,0.556,0.798,SecondClass,Customer N_1219
Existing Customer,47,M,College,Blue,1063,1.065,2902,64,0.641,0.06,FirstClass,Customer N_1220
Existing Customer,55,F,Graduate,Blue,2077,0.574,1017,25,0.562,0.718,SecondClass,Customer N_1221
Existing Customer,37,M,Post-Graduate,Blue,1956,0.675,1740,43,0.536,0.117,FirstClass,Customer N_1222
Existing Customer,36,F,College,Blue,1843,0.625,2614,79,0.646,0.562,SecondClass,Customer N_1223
Existing Customer,26,M,High School,Blue,957,0.576,2099,34,0.417,0.572,SecondClass,Customer N_1224
Existing Customer,45,F,Graduate,Blue,1595,0.743,1914,45,0.5,0.196,SecondClass,Customer N_1225
Existing Customer,60,M,Post-Graduate,Blue,1928,0.509,1233,35,0.4,0.606,SecondClass,Customer N_1226
Attrited Customer,30,M,Post-Graduate,Blue,0,0.911,1309,38,0.462,0,SecondClass,Customer N_1227
Existing Customer,39,M,High School,Blue,1898,1.103,3014,58,0.706,0.305,SecondClass,Customer N_1228
Existing Customer,48,F,College,Blue,1867,0.6,1219,35,1.333,0.758,SecondClass,Customer N_1229
Existing Customer,39,M,Graduate,Blue,1875,0.907,1897,50,1.083,0.539,SecondClass,Customer N_1230
Existing Customer,38,M,Graduate,Blue,2076,0.612,1841,46,0.533,0.64,FirstClass,Customer N_1231
Existing Customer,47,M,High School,Blue,1314,0.676,1772,53,0.559,0.047,FirstClass,Customer N_1232
Existing Customer,26,M,Graduate,Blue,495,1.062,2546,40,0.333,0.344,SecondClass,Customer N_1233
Existing Customer,49,M,College,Blue,0,0.646,1793,44,0.833,0,FirstClass,Customer N_1234
Existing Customer,38,M,High School,Blue,694,0.844,1499,31,0.938,0.109,FirstClass,Customer N_1235
Existing Customer,30,M,Graduate,Blue,0,0.859,1645,30,0.667,0,SecondClass,Customer N_1236
Existing Customer,53,M,High School,Blue,1655,0.676,2073,60,0.333,0.118,FirstClass,Customer N_1237
Existing Customer,35,M,Uneducated,Blue,1278,0.806,2423,74,0.609,0.165,SecondClass,Customer N_1238
Existing Customer,40,M,Uneducated,Silver,564,0.448,1322,38,0.652,0.026,SecondClass,Customer N_1239
Existing Customer,30,M,High School,Blue,2252,0.889,1819,24,0.846,0.499,SecondClass,Customer N_1240
Existing Customer,42,F,College,Blue,1812,0.513,1634,44,0.76,0.334,SecondClass,Customer N_1241
Existing Customer,62,F,Graduate,Blue,1540,0.937,2094,47,0.958,0.873,SecondClass,Customer N_1242
Attrited Customer,50,F,Post-Graduate,Blue,932,0.466,1554,43,0.344,0.624,SecondClass,Customer N_1243
Existing Customer,56,M,College,Blue,2517,0.743,1220,30,0.765,0.144,FirstClass,Customer N_1244
Existing Customer,45,M,Graduate,Silver,0,0.534,3530,68,0.659,0,FirstClass,Customer N_1245
Existing Customer,35,F,Uneducated,Blue,1118,0.903,1581,30,1,0.52,SecondClass,Customer N_1246
Existing Customer,57,F,Graduate,Blue,1530,0.647,1629,43,0.344,0.245,SecondClass,Customer N_1247
Attrited Customer,43,F,Graduate,Blue,1986,1.214,2449,27,0.038,0.487,SecondClass,Customer N_1248
Existing Customer,53,M,Graduate,Blue,2151,0.583,1312,29,0.526,0.295,FirstClass,Customer N_1249
Existing Customer,50,M,College,Blue,688,0.673,3382,58,1.071,0.115,SecondClass,Customer N_1250
Existing Customer,30,M,High School,Blue,1965,0.698,1925,42,0.448,0.218,FirstClass,Customer N_1251
Existing Customer,37,F,Graduate,Blue,1397,0.834,2837,74,0.609,0.23,SecondClass,Customer N_1252
Existing Customer,37,M,Doctorate,Blue,1009,0.796,1744,35,0.944,0.558,SecondClass,Customer N_1253
Existing Customer,45,M,Graduate,Blue,0,1.363,3174,74,1.114,0,FirstClass,Customer N_1254
Existing Customer,63,F,College,Blue,1528,0.604,1291,24,0.6,0.49,SecondClass,Customer N_1255
Existing Customer,43,M,Graduate,Blue,922,0.655,1518,39,0.625,0.046,SecondClass,Customer N_1256
Existing Customer,53,M,Graduate,Blue,1324,0.805,1587,38,0.52,0.671,SecondClass,Customer N_1257
Existing Customer,36,M,High School,Blue,1659,1.202,2275,58,0.871,0.404,SecondClass,Customer N_1258
Existing Customer,51,M,High School,Blue,2504,0.8,1818,51,1.04,0.121,FirstClass,Customer N_1259
Existing Customer,36,M,Graduate,Blue,892,0.673,2733,71,0.919,0.055,FirstClass,Customer N_1260
Existing Customer,34,F,Graduate,Blue,1955,0.969,2617,54,0.8,0.342,SecondClass,Customer N_1261
Existing Customer,57,M,Doctorate,Blue,1206,0.69,1844,49,0.75,0.226,SecondClass,Customer N_1262
Existing Customer,29,M,Uneducated,Blue,1201,0.778,1842,50,0.852,0.14,SecondClass,Customer N_1263
Existing Customer,37,F,Post-Graduate,Blue,1164,0.744,2028,39,1.053,0.609,SecondClass,Customer N_1264
Existing Customer,53,F,College,Blue,1083,0.621,3095,62,0.59,0.174,SecondClass,Customer N_1265
Existing Customer,36,M,College,Blue,1337,0.768,1685,44,0.375,0.602,SecondClass,Customer N_1266
Existing Customer,53,M,Graduate,Blue,2517,0.569,1677,45,0.5,0.711,SecondClass,Customer N_1267
Existing Customer,52,M,Graduate,Blue,2097,0.776,2048,59,0.639,0.226,FirstClass,Customer N_1268
Existing Customer,35,F,Uneducated,Blue,2517,1.214,2072,33,0.833,0.79,SecondClass,Customer N_1269
Attrited Customer,37,F,Graduate,Blue,2460,1.029,1406,28,0.077,0.878,SecondClass,Customer N_1270
Existing Customer,50,M,Uneducated,Blue,707,0.561,1386,30,0.5,0.303,SecondClass,Customer N_1271
Existing Customer,65,F,Graduate,Blue,0,0.76,2249,61,0.564,0,SecondClass,Customer N_1272
Existing Customer,40,M,Graduate,Silver,1002,1.345,2579,68,0.7,0.029,FirstClass,Customer N_1273
Existing Customer,39,M,High School,Blue,2032,0.465,1642,39,0.625,0.171,SecondClass,Customer N_1274
Existing Customer,36,M,Uneducated,Blue,1772,0.81,2004,44,0.419,0.797,SecondClass,Customer N_1275
Existing Customer,35,F,Graduate,Blue,1603,1.078,1575,41,0.519,0.464,SecondClass,Customer N_1276
Existing Customer,37,F,High School,Blue,1873,0.851,2732,63,0.853,0.327,SecondClass,Customer N_1277
Existing Customer,39,M,College,Blue,1775,0.686,1602,40,0.667,0.437,FirstClass,Customer N_1278
Existing Customer,65,M,College,Blue,0,0.715,1597,31,0.722,0,SecondClass,Customer N_1279
Existing Customer,38,F,Graduate,Blue,1717,1.625,2334,61,0.848,0.771,SecondClass,Customer N_1280
Attrited Customer,36,F,Graduate,Blue,2517,0.378,856,18,0.059,0.772,SecondClass,Customer N_1281
Existing Customer,40,F,Graduate,Blue,1402,0.873,1596,34,0.789,0.175,SecondClass,Customer N_1282
Existing Customer,35,F,College,Blue,1726,0.856,1830,36,0.636,0.157,SecondClass,Customer N_1283
Existing Customer,54,M,Post-Graduate,Blue,2165,0.676,1369,37,0.542,0.7,FirstClass,Customer N_1284
Existing Customer,40,M,Graduate,Blue,690,1.32,2603,56,0.806,0.048,FirstClass,Customer N_1285
Existing Customer,59,M,Uneducated,Blue,997,0.776,1776,36,0.565,0.605,SecondClass,Customer N_1286
Attrited Customer,26,F,High School,Blue,1616,0.331,869,27,0.286,0.934,SecondClass,Customer N_1287
Existing Customer,46,M,High School,Blue,763,0.712,1390,44,0.76,0.055,SecondClass,Customer N_1288
Existing Customer,38,M,Graduate,Blue,0,0.604,3342,62,0.824,0,SecondClass,Customer N_1289
Existing Customer,31,M,Graduate,Blue,0,0.876,2457,58,0.933,0,SecondClass,Customer N_1290
Existing Customer,35,M,High School,Blue,2317,0.831,2274,61,1.033,0.363,SecondClass,Customer N_1291
Existing Customer,56,M,Uneducated,Blue,1946,0.625,1448,36,1,0.175,FirstClass,Customer N_1292
Existing Customer,34,M,College,Blue,1999,1.013,1544,36,0.714,0.081,FirstClass,Customer N_1293
Existing Customer,42,M,Doctorate,Blue,0,1.009,1591,35,0.75,0,FirstClass,Customer N_1294
Existing Customer,29,M,College,Blue,0,0.928,3253,80,0.818,0,SecondClass,Customer N_1295
Existing Customer,32,M,Graduate,Blue,1472,1.027,2467,54,0.8,0.526,SecondClass,Customer N_1296
Existing Customer,37,F,High School,Blue,0,0.498,1401,31,0.722,0,SecondClass,Customer N_1297
Existing Customer,38,M,Graduate,Blue,2517,0.813,1655,41,0.577,0.334,FirstClass,Customer N_1298
Attrited Customer,52,M,High School,Silver,511,0.681,797,14,0.273,0.015,SecondClass,Customer N_1299
Existing Customer,62,F,Graduate,Blue,1632,0.883,2141,55,0.667,0.547,SecondClass,Customer N_1300
Existing Customer,36,M,Graduate,Blue,1817,0.663,2542,67,0.675,0.699,SecondClass,Customer N_1301
Existing Customer,54,M,College,Blue,1655,0.636,1636,58,0.706,0.49,FirstClass,Customer N_1302
Existing Customer,27,M,High School,Blue,1351,0.623,2319,61,0.743,0.495,SecondClass,Customer N_1303
Attrited Customer,26,M,High School,Blue,0,0.537,982,22,0.692,0,SecondClass,Customer N_1304
Existing Customer,56,F,Graduate,Blue,1844,0.554,1880,58,0.758,0.692,SecondClass,Customer N_1305
Existing Customer,60,F,Graduate,Blue,2053,0.442,1325,29,0.381,0.409,SecondClass,Customer N_1306
Existing Customer,54,M,Graduate,Blue,2303,0.712,1370,25,0.786,0.334,SecondClass,Customer N_1307
Existing Customer,33,M,College,Blue,1608,0.728,2501,55,0.528,0.084,FirstClass,Customer N_1308
Existing Customer,35,M,Graduate,Blue,0,0.712,1691,47,0.516,0,SecondClass,Customer N_1309
Existing Customer,29,F,College,Blue,0,1.033,2743,69,0.769,0,SecondClass,Customer N_1310
Attrited Customer,33,M,Graduate,Blue,0,0.433,837,18,1,0,FirstClass,Customer N_1311
Existing Customer,34,M,Graduate,Blue,1285,1.034,1877,33,1.2,0.344,SecondClass,Customer N_1312
Existing Customer,48,M,Graduate,Blue,1252,0.625,1843,44,0.63,0.187,SecondClass,Customer N_1313
Existing Customer,38,M,High School,Blue,943,0.484,1527,35,0.207,0.153,FirstClass,Customer N_1314
Existing Customer,42,M,High School,Blue,795,0.524,3951,68,0.619,0.238,SecondClass,Customer N_1315
Existing Customer,55,M,Graduate,Blue,1337,0.65,1591,38,0.727,0.606,SecondClass,Customer N_1316
Existing Customer,62,M,High School,Blue,1444,0.465,1326,44,0.419,0.324,SecondClass,Customer N_1317
Existing Customer,39,M,Uneducated,Blue,1267,1.102,3078,58,0.611,0.293,SecondClass,Customer N_1318
Existing Customer,56,M,College,Blue,1468,0.579,1238,36,0.5,0.354,FirstClass,Customer N_1319
Existing Customer,36,M,Graduate,Blue,1003,1.005,2454,46,0.586,0.494,SecondClass,Customer N_1320
Existing Customer,29,M,College,Blue,2103,1.007,2413,48,1.087,0.3,FirstClass,Customer N_1321
Existing Customer,57,M,High School,Blue,1530,0.673,2126,58,0.657,0.477,FirstClass,Customer N_1322
Existing Customer,51,F,Graduate,Blue,0,1.19,2041,32,0.684,0,SecondClass,Customer N_1323
Existing Customer,56,F,Graduate,Blue,0,0.556,1229,27,0.35,0,SecondClass,Customer N_1324
Existing Customer,26,M,College,Blue,1196,0.623,2180,33,0.941,0.584,SecondClass,Customer N_1325
Existing Customer,53,F,Graduate,Blue,2357,0.654,1333,34,0.545,0.894,SecondClass,Customer N_1326
Existing Customer,41,M,Graduate,Blue,915,0.958,2036,44,0.692,0.142,SecondClass,Customer N_1327
Existing Customer,26,F,Post-Graduate,Blue,1668,0.621,2088,34,0.478,0.575,SecondClass,Customer N_1328
Existing Customer,51,F,College,Blue,1669,0.702,2024,53,1.12,0.417,SecondClass,Customer N_1329
Existing Customer,34,M,Graduate,Blue,977,1.705,2405,49,0.885,0.189,SecondClass,Customer N_1330
Existing Customer,52,M,High School,Blue,1518,0.917,2866,53,0.893,0.049,FirstClass,Customer N_1331
Existing Customer,54,F,Graduate,Blue,1671,0.784,1406,37,0.423,0.623,SecondClass,Customer N_1332
Attrited Customer,37,M,College,Blue,926,0.262,563,15,0.364,0.08,FirstClass,Customer N_1333
Existing Customer,55,M,Doctorate,Blue,1671,0.359,1409,25,0.25,0.202,FirstClass,Customer N_1334
Existing Customer,45,M,High School,Blue,1261,0.484,1485,38,0.462,0.054,FirstClass,Customer N_1335
Existing Customer,37,F,High School,Blue,0,1.467,2344,48,0.92,0,SecondClass,Customer N_1336
Existing Customer,30,M,Graduate,Blue,1015,1.483,2768,68,0.889,0.089,SecondClass,Customer N_1337
Existing Customer,36,M,Graduate,Silver,1568,0.878,2873,73,0.659,0.045,FirstClass,Customer N_1338
Existing Customer,39,M,Graduate,Blue,1884,0.791,1734,39,0.625,0.282,SecondClass,Customer N_1339
Existing Customer,34,M,Graduate,Blue,844,0.863,2858,71,0.69,0.19,SecondClass,Customer N_1340
Existing Customer,47,M,High School,Blue,1582,0.537,1984,36,1,0.296,SecondClass,Customer N_1341
Existing Customer,42,M,High School,Blue,0,0.919,1537,41,1.05,0,FirstClass,Customer N_1342
Existing Customer,61,M,Graduate,Blue,2360,0.955,1263,35,0.591,0.932,SecondClass,Customer N_1343
Existing Customer,31,M,College,Blue,0,0.768,2318,54,0.688,0,SecondClass,Customer N_1344
Attrited Customer,40,M,College,Silver,0,0.927,1112,26,0.368,0,FirstClass,Customer N_1345
Existing Customer,42,F,Graduate,Blue,902,0.834,1438,35,0.591,0.126,SecondClass,Customer N_1346
Existing Customer,54,F,Graduate,Blue,1723,0.765,1292,34,0.889,0.319,SecondClass,Customer N_1347
Existing Customer,31,F,Graduate,Blue,1305,0.542,2205,43,0.265,0.207,SecondClass,Customer N_1348
Existing Customer,45,F,Graduate,Blue,1053,1.195,3479,76,0.81,0.213,SecondClass,Customer N_1349
Existing Customer,38,M,Graduate,Blue,2375,0.921,1646,43,0.536,0.602,FirstClass,Customer N_1350
Existing Customer,57,M,Uneducated,Blue,2289,0.685,1683,50,0.471,0.186,SecondClass,Customer N_1351
Existing Customer,63,F,Graduate,Blue,1874,0.791,1420,32,0.455,0.611,SecondClass,Customer N_1352
Existing Customer,42,F,Post-Graduate,Blue,674,1.769,2451,55,1.292,0.469,SecondClass,Customer N_1353
Existing Customer,61,F,Doctorate,Blue,2517,0.681,2066,51,0.457,0.292,SecondClass,Customer N_1354
Attrited Customer,61,M,Graduate,Blue,2517,1.015,1088,26,1.167,0.221,FirstClass,Customer N_1355
Existing Customer,35,M,College,Blue,2159,0.895,1931,35,0.75,0.312,SecondClass,Customer N_1356
Existing Customer,57,M,Graduate,Blue,2379,0.358,1343,35,0.296,0.928,FirstClass,Customer N_1357
Existing Customer,53,M,Graduate,Blue,883,0.953,2199,48,1,0.484,FirstClass,Customer N_1358
Existing Customer,35,F,Graduate,Blue,1346,0.834,1851,48,0.455,0.46,SecondClass,Customer N_1359
Existing Customer,47,F,High School,Blue,1813,0.744,1831,60,0.5,0.257,SecondClass,Customer N_1360
Existing Customer,38,M,Graduate,Blue,2033,0.667,1735,43,0.387,0.211,FirstClass,Customer N_1361
Existing Customer,26,F,High School,Blue,2162,0.635,2386,47,0.382,0.852,SecondClass,Customer N_1362
Existing Customer,57,M,Graduate,Blue,0,0.744,3031,57,0.676,0,SecondClass,Customer N_1363
Existing Customer,39,M,Graduate,Blue,1529,1.356,1972,38,0.52,0.265,FirstClass,Customer N_1364
Existing Customer,35,M,Uneducated,Blue,0,0.798,2084,61,1.103,0,SecondClass,Customer N_1365
Existing Customer,38,M,Graduate,Blue,618,0.824,1357,26,1,0.038,FirstClass,Customer N_1366
Existing Customer,36,M,Uneducated,Blue,1986,1.328,2530,50,0.724,0.63,SecondClass,Customer N_1367
Attrited Customer,39,M,College,Blue,0,0.864,1195,35,0.522,0,FirstClass,Customer N_1368
Existing Customer,28,M,High School,Blue,0,0.803,2074,81,0.8,0,SecondClass,Customer N_1369
Existing Customer,65,F,Graduate,Blue,0,0.847,2213,62,0.771,0,SecondClass,Customer N_1370
Existing Customer,26,F,Uneducated,Blue,0,0.764,2731,39,0.5,0,SecondClass,Customer N_1371
Existing Customer,28,M,Graduate,Blue,1191,0.669,2950,87,0.977,0.698,SecondClass,Customer N_1372
Existing Customer,31,F,Uneducated,Blue,1699,0.889,2411,53,0.656,0.717,SecondClass,Customer N_1373
Existing Customer,57,M,Post-Graduate,Blue,2517,0.685,1409,49,0.75,0.724,SecondClass,Customer N_1374
Existing Customer,43,M,High School,Blue,989,0.86,1987,47,0.808,0.643,SecondClass,Customer N_1375
Attrited Customer,26,F,Uneducated,Blue,0,0.506,947,20,0.053,0,SecondClass,Customer N_1376
Existing Customer,39,F,High School,Blue,1639,0.986,3046,56,1.154,0.522,SecondClass,Customer N_1377
Existing Customer,52,F,Uneducated,Blue,0,0.529,1679,39,0.5,0,SecondClass,Customer N_1378
Existing Customer,33,M,Graduate,Blue,925,0.766,2342,51,1.318,0.07,FirstClass,Customer N_1379
Existing Customer,53,M,High School,Blue,1351,0.522,1359,36,0.565,0.545,SecondClass,Customer N_1380
Existing Customer,65,F,Graduate,Blue,1262,0.898,1877,41,0.783,0.283,SecondClass,Customer N_1381
Existing Customer,33,F,Uneducated,Blue,0,0.677,1731,40,0.739,0,SecondClass,Customer N_1382
Existing Customer,52,M,High School,Blue,0,0.434,1771,41,0.367,0,SecondClass,Customer N_1383
Existing Customer,37,F,Graduate,Blue,1396,0.974,3016,85,0.809,0.379,SecondClass,Customer N_1384
Existing Customer,56,M,Graduate,Blue,1932,0.781,969,29,1.071,0.217,FirstClass,Customer N_1385
Existing Customer,35,M,Uneducated,Blue,1596,0.737,2070,44,0.467,0.542,FirstClass,Customer N_1386
Existing Customer,58,F,Graduate,Blue,786,0.435,1395,39,0.345,0.352,SecondClass,Customer N_1387
Existing Customer,37,M,Uneducated,Blue,1153,0.666,2574,65,0.625,0.049,FirstClass,Customer N_1388
Existing Customer,53,M,Uneducated,Blue,1442,0.711,1627,54,1.077,0.434,SecondClass,Customer N_1389
Existing Customer,38,M,Uneducated,Blue,1698,0.937,1592,32,1,0.278,SecondClass,Customer N_1390
Existing Customer,38,M,Uneducated,Blue,0,1.324,1601,34,1.125,0,FirstClass,Customer N_1391
Existing Customer,43,F,Uneducated,Blue,643,0.681,1827,49,0.581,0.155,SecondClass,Customer N_1392
Existing Customer,36,M,College,Blue,2147,1.113,2472,65,1.167,0.256,FirstClass,Customer N_1393
Existing Customer,38,F,Uneducated,Blue,0,0.988,1475,27,1.7,0,SecondClass,Customer N_1394
Existing Customer,37,M,Graduate,Blue,1695,0.717,2349,61,0.968,0.44,SecondClass,Customer N_1395
Existing Customer,37,M,College,Blue,827,1.085,2477,49,1.042,0.052,SecondClass,Customer N_1396
Existing Customer,29,F,Uneducated,Blue,0,0.84,2775,74,1.114,0,SecondClass,Customer N_1397
Existing Customer,51,M,High School,Blue,691,0.485,1451,25,0.667,0.067,SecondClass,Customer N_1398
Existing Customer,54,M,College,Blue,2517,0.479,1617,35,0.75,0.843,SecondClass,Customer N_1399
Existing Customer,35,M,High School,Gold,1965,1.044,2949,70,1,0.057,FirstClass,Customer N_1400
Existing Customer,38,F,College,Blue,1579,0.996,1585,43,0.72,0.252,SecondClass,Customer N_1401
Existing Customer,33,F,High School,Blue,0,1.504,2679,45,0.8,0,SecondClass,Customer N_1402
Existing Customer,45,F,Uneducated,Blue,1961,0.744,1779,47,0.808,0.598,SecondClass,Customer N_1403
Existing Customer,61,M,Graduate,Blue,1646,0.456,1523,30,0.579,0.535,SecondClass,Customer N_1404
Existing Customer,33,F,Uneducated,Blue,1864,1.318,2758,50,0.852,0.913,SecondClass,Customer N_1405
Existing Customer,55,M,High School,Blue,1553,0.482,1910,51,0.7,0.776,SecondClass,Customer N_1406
Existing Customer,34,F,Graduate,Blue,2517,1.158,2616,46,1.3,0.694,SecondClass,Customer N_1407
Existing Customer,58,M,High School,Blue,1885,0.531,1199,25,0.316,0.242,SecondClass,Customer N_1408
Existing Customer,38,F,Graduate,Blue,1702,1.264,2565,53,0.71,0.286,SecondClass,Customer N_1409
Attrited Customer,59,M,College,Blue,812,0.719,1339,23,0.15,0.051,FirstClass,Customer N_1410
Existing Customer,55,M,High School,Blue,0,0.746,1910,38,1,0,SecondClass,Customer N_1411
Existing Customer,63,M,Graduate,Blue,2517,0.983,2279,56,0.6,0.708,SecondClass,Customer N_1412
